"id","first_name","last_name","position","height_feet","height_inches","weight_pounds","team_id","updated_at","created_at","public_id"
76482,"Corey","Crowder","",NULL,NULL,NULL,1610612762,"2019-01-12 12:47:51.731312-08","2019-01-12 12:47:51.731312-08",680
785,"Eric","Murdock","",NULL,NULL,NULL,1610612762,"2019-01-12 12:47:51.731312-08","2019-01-12 12:47:51.731312-08",681
76265,"Kevin","Brooks","",NULL,NULL,NULL,1610612743,"2019-01-12 12:47:53.899-08","2019-01-12 12:47:53.899-08",682
77545,"Carlton","McKinney","",NULL,NULL,NULL,1610612752,"2019-01-12 12:48:12.521304-08","2019-01-12 12:48:12.521304-08",683
182,"Billy","Owens","",NULL,NULL,NULL,1610612744,"2019-01-12 12:48:12.605616-08","2019-01-12 12:48:12.605616-08",684
475,"Doug","Smith","",NULL,NULL,NULL,1610612742,"2019-01-12 12:48:13.542482-08","2019-01-12 12:48:13.542482-08",685
55,"Marty","Conlon","",NULL,NULL,NULL,1610612760,"2019-01-12 12:48:13.62395-08","2019-01-12 12:48:13.62395-08",686
1101,"Rich","King","",NULL,NULL,NULL,1610612760,"2019-01-12 12:48:13.62395-08","2019-01-12 12:48:13.62395-08",687
78110,"Brad","Sellers","",NULL,NULL,NULL,1610612765,"2019-01-12 12:48:14.15804-08","2019-01-12 12:48:14.15804-08",688
77628,"Rodney","Monroe","",NULL,NULL,NULL,1610612737,"2019-01-12 12:48:15.088273-08","2019-01-12 12:48:15.088273-08",689
76448,"Lanard","Copeland","",NULL,NULL,NULL,1610612746,"2019-01-12 12:48:17.333579-08","2019-01-12 12:48:17.333579-08",690
1034,"LeRon","Ellis","",NULL,NULL,NULL,1610612746,"2019-01-12 12:48:17.333579-08","2019-01-12 12:48:17.333579-08",691
1125,"Larry","Stewart","",NULL,NULL,NULL,1610612764,"2019-01-12 12:48:19.349033-08","2019-01-12 12:48:19.349033-08",692
1819,"John","Turner","",NULL,NULL,NULL,1610612745,"2019-01-12 12:48:27.878777-08","2019-01-12 12:48:27.878777-08",693
1593,"Charles","Shackleford","",NULL,NULL,NULL,1610612755,"2019-01-12 12:48:30.832248-08","2019-01-12 12:48:30.832248-08",694
77785,"Keith","Owens","",NULL,NULL,NULL,1610612747,"2019-01-12 12:48:31.230768-08","2019-01-12 12:48:31.230768-08",695
76842,"Paul","Graham","",NULL,NULL,NULL,1610612737,"2019-01-12 12:48:34.432872-08","2019-01-12 12:48:34.432872-08",696
72,"Kenny","Anderson","",NULL,NULL,NULL,1610612751,"2019-01-12 12:48:38.620439-08","2019-01-12 12:48:38.620439-08",697
